Id,When,Type,Unit,Alberta,ModifiedDate
74449,12/1/1992 12:00:00 AM,NatGas,$CDN/GJ,1.44,9/28/2018 10:37:40 AM
74450,1/1/1993 12:00:00 AM,NatGas,$CDN/GJ,1.46,9/28/2018 10:37:40 AM
74451,2/1/1993 12:00:00 AM,NatGas,$CDN/GJ,1.42,9/28/2018 10:37:40 AM
74452,3/1/1993 12:00:00 AM,NatGas,$CDN/GJ,1.47,9/28/2018 10:37:40 AM
74453,4/1/1993 12:00:00 AM,NatGas,$CDN/GJ,1.53,9/28/2018 10:37:40 AM
74454,5/1/1993 12:00:00 AM,NatGas,$CDN/GJ,1.59,9/28/2018 10:37:40 AM
74455,6/1/1993 12:00:00 AM,NatGas,$CDN/GJ,1.56,9/28/2018 10:37:40 AM
74456,7/1/1993 12:00:00 AM,NatGas,$CDN/GJ,1.49,9/28/2018 10:37:40 AM
74457,8/1/1993 12:00:00 AM,NatGas,$CDN/GJ,1.5,9/28/2018 10:37:40 AM
74458,9/1/1993 12:00:00 AM,NatGas,$CDN/GJ,1.55,9/28/2018 10:37:40 AM
74459,10/1/1993 12:00:00 AM,NatGas,$CDN/GJ,1.56,9/28/2018 10:37:40 AM
74460,11/1/1993 12:00:00 AM,NatGas,$CDN/GJ,1.87,9/28/2018 10:37:40 AM
74461,12/1/1993 12:00:00 AM,NatGas,$CDN/GJ,1.94,9/28/2018 10:37:40 AM
74462,1/1/1994 12:00:00 AM,NatGas,$CDN/GJ,1.93,9/28/2018 10:37:40 AM
74463,2/1/1994 12:00:00 AM,NatGas,$CDN/GJ,2.04,9/28/2018 10:37:40 AM
74464,3/1/1994 12:00:00 AM,NatGas,$CDN/GJ,2.07,9/28/2018 10:37:40 AM
74465,4/1/1994 12:00:00 AM,NatGas,$CDN/GJ,1.82,9/28/2018 10:37:40 AM
74466,5/1/1994 12:00:00 AM,NatGas,$CDN/GJ,1.8,9/28/2018 10:37:40 AM
74467,6/1/1994 12:00:00 AM,NatGas,$CDN/GJ,1.66,9/28/2018 10:37:40 AM
74468,7/1/1994 12:00:00 AM,NatGas,$CDN/GJ,1.73,9/28/2018 10:37:40 AM
74469,8/1/1994 12:00:00 AM,NatGas,$CDN/GJ,1.66,9/28/2018 10:37:40 AM
74470,9/1/1994 12:00:00 AM,NatGas,$CDN/GJ,1.5,9/28/2018 10:37:40 AM
74471,10/1/1994 12:00:00 AM,NatGas,$CDN/GJ,1.35,9/28/2018 10:37:40 AM
74472,11/1/1994 12:00:00 AM,NatGas,$CDN/GJ,1.53,9/28/2018 10:37:40 AM
74473,12/1/1994 12:00:00 AM,NatGas,$CDN/GJ,1.56,9/28/2018 10:37:40 AM
74474,1/1/1995 12:00:00 AM,NatGas,$CDN/GJ,1.39,9/28/2018 10:37:40 AM
74475,2/1/1995 12:00:00 AM,NatGas,$CDN/GJ,1.25,9/28/2018 10:37:40 AM
74476,3/1/1995 12:00:00 AM,NatGas,$CDN/GJ,1.2,9/28/2018 10:37:40 AM
74477,4/1/1995 12:00:00 AM,NatGas,$CDN/GJ,1.19,9/28/2018 10:37:40 AM
74478,5/1/1995 12:00:00 AM,NatGas,$CDN/GJ,1.25,9/28/2018 10:37:40 AM
74479,6/1/1995 12:00:00 AM,NatGas,$CDN/GJ,1.27,9/28/2018 10:37:40 AM
74480,7/1/1995 12:00:00 AM,NatGas,$CDN/GJ,1.1,9/28/2018 10:37:40 AM
74481,8/1/1995 12:00:00 AM,NatGas,$CDN/GJ,1.07,9/28/2018 10:37:40 AM
74482,9/1/1995 12:00:00 AM,NatGas,$CDN/GJ,1.2,9/28/2018 10:37:40 AM
74483,10/1/1995 12:00:00 AM,NatGas,$CDN/GJ,1.25,9/28/2018 10:37:40 AM
74484,11/1/1995 12:00:00 AM,NatGas,$CDN/GJ,1.29,9/28/2018 10:37:40 AM
74485,12/1/1995 12:00:00 AM,NatGas,$CDN/GJ,1.39,9/28/2018 10:37:40 AM
74486,1/1/1996 12:00:00 AM,NatGas,$CDN/GJ,1.62,9/28/2018 10:37:40 AM
74487,2/1/1996 12:00:00 AM,NatGas,$CDN/GJ,1.61,9/28/2018 10:37:40 AM
74488,3/1/1996 12:00:00 AM,NatGas,$CDN/GJ,1.6,9/28/2018 10:37:40 AM
74489,4/1/1996 12:00:00 AM,NatGas,$CDN/GJ,1.51,9/28/2018 10:37:40 AM
74490,5/1/1996 12:00:00 AM,NatGas,$CDN/GJ,1.41,9/28/2018 10:37:40 AM
74491,6/1/1996 12:00:00 AM,NatGas,$CDN/GJ,1.37,9/28/2018 10:37:40 AM
74492,7/1/1996 12:00:00 AM,NatGas,$CDN/GJ,1.38,9/28/2018 10:37:40 AM
74493,8/1/1996 12:00:00 AM,NatGas,$CDN/GJ,1.38,9/28/2018 10:37:40 AM
74494,9/1/1996 12:00:00 AM,NatGas,$CDN/GJ,1.2,9/28/2018 10:37:40 AM
74495,10/1/1996 12:00:00 AM,NatGas,$CDN/GJ,1.28,9/28/2018 10:37:40 AM
74496,11/1/1996 12:00:00 AM,NatGas,$CDN/GJ,1.79,9/28/2018 10:37:40 AM
74497,12/1/1996 12:00:00 AM,NatGas,$CDN/GJ,2.36,9/28/2018 10:37:40 AM
74498,1/1/1997 12:00:00 AM,NatGas,$CDN/GJ,2.77,9/28/2018 10:37:40 AM
74499,2/1/1997 12:00:00 AM,NatGas,$CDN/GJ,2.28,9/28/2018 10:37:40 AM
74500,3/1/1997 12:00:00 AM,NatGas,$CDN/GJ,1.39,9/28/2018 10:37:40 AM
74501,4/1/1997 12:00:00 AM,NatGas,$CDN/GJ,1.44,9/28/2018 10:37:40 AM
74502,5/1/1997 12:00:00 AM,NatGas,$CDN/GJ,1.57,9/28/2018 10:37:40 AM
74503,6/1/1997 12:00:00 AM,NatGas,$CDN/GJ,1.65,9/28/2018 10:37:40 AM
74504,7/1/1997 12:00:00 AM,NatGas,$CDN/GJ,1.59,9/28/2018 10:37:40 AM
74505,8/1/1997 12:00:00 AM,NatGas,$CDN/GJ,1.57,9/28/2018 10:37:40 AM
74506,9/1/1997 12:00:00 AM,NatGas,$CDN/GJ,1.73,9/28/2018 10:37:40 AM
74507,10/1/1997 12:00:00 AM,NatGas,$CDN/GJ,2.07,9/28/2018 10:37:40 AM
74508,11/1/1997 12:00:00 AM,NatGas,$CDN/GJ,2.37,9/28/2018 10:37:40 AM
74509,12/1/1997 12:00:00 AM,NatGas,$CDN/GJ,1.95,9/28/2018 10:37:40 AM
74510,1/1/1998 12:00:00 AM,NatGas,$CDN/GJ,1.8,9/28/2018 10:37:40 AM
74511,2/1/1998 12:00:00 AM,NatGas,$CDN/GJ,1.73,9/28/2018 10:37:40 AM
74512,3/1/1998 12:00:00 AM,NatGas,$CDN/GJ,1.71,9/28/2018 10:37:40 AM
74513,4/1/1998 12:00:00 AM,NatGas,$CDN/GJ,1.84,9/28/2018 10:37:40 AM
74514,5/1/1998 12:00:00 AM,NatGas,$CDN/GJ,1.84,9/28/2018 10:37:40 AM
74515,6/1/1998 12:00:00 AM,NatGas,$CDN/GJ,1.71,9/28/2018 10:37:40 AM
74516,7/1/1998 12:00:00 AM,NatGas,$CDN/GJ,1.83,9/28/2018 10:37:40 AM
74517,8/1/1998 12:00:00 AM,NatGas,$CDN/GJ,1.78,9/28/2018 10:37:40 AM
74518,9/1/1998 12:00:00 AM,NatGas,$CDN/GJ,1.56,9/28/2018 10:37:40 AM
74519,10/1/1998 12:00:00 AM,NatGas,$CDN/GJ,1.86,9/28/2018 10:37:40 AM
74520,11/1/1998 12:00:00 AM,NatGas,$CDN/GJ,2.19,9/28/2018 10:37:40 AM
74521,12/1/1998 12:00:00 AM,NatGas,$CDN/GJ,2.22,9/28/2018 10:37:40 AM
74522,1/1/1999 12:00:00 AM,NatGas,$CDN/GJ,2.04,9/28/2018 10:37:40 AM
74523,2/1/1999 12:00:00 AM,NatGas,$CDN/GJ,1.9,9/28/2018 10:37:40 AM
74524,3/1/1999 12:00:00 AM,NatGas,$CDN/GJ,1.8,9/28/2018 10:37:40 AM
74525,4/1/1999 12:00:00 AM,NatGas,$CDN/GJ,1.9,9/28/2018 10:37:40 AM
74526,5/1/1999 12:00:00 AM,NatGas,$CDN/GJ,2.21,9/28/2018 10:37:40 AM
74527,6/1/1999 12:00:00 AM,NatGas,$CDN/GJ,2.22,9/28/2018 10:37:40 AM
74528,7/1/1999 12:00:00 AM,NatGas,$CDN/GJ,2.33,9/28/2018 10:37:40 AM
74529,8/1/1999 12:00:00 AM,NatGas,$CDN/GJ,2.6,9/28/2018 10:37:40 AM
74530,9/1/1999 12:00:00 AM,NatGas,$CDN/GJ,2.86,9/28/2018 10:37:40 AM
74531,10/1/1999 12:00:00 AM,NatGas,$CDN/GJ,2.72,9/28/2018 10:37:40 AM
74532,11/1/1999 12:00:00 AM,NatGas,$CDN/GJ,3.06,9/28/2018 10:37:40 AM
74533,12/1/1999 12:00:00 AM,NatGas,$CDN/GJ,2.54,9/28/2018 10:37:40 AM
74534,1/1/2000 12:00:00 AM,NatGas,$CDN/GJ,2.5,9/28/2018 10:37:40 AM
74535,2/1/2000 12:00:00 AM,NatGas,$CDN/GJ,2.62,9/28/2018 10:37:40 AM
74536,3/1/2000 12:00:00 AM,NatGas,$CDN/GJ,2.72,9/28/2018 10:37:40 AM
74537,4/1/2000 12:00:00 AM,NatGas,$CDN/GJ,3.1,9/28/2018 10:37:40 AM
74538,5/1/2000 12:00:00 AM,NatGas,$CDN/GJ,3.35,9/28/2018 10:37:40 AM
74539,6/1/2000 12:00:00 AM,NatGas,$CDN/GJ,4.33,9/28/2018 10:37:40 AM
74540,7/1/2000 12:00:00 AM,NatGas,$CDN/GJ,4.42,9/28/2018 10:37:40 AM
74541,8/1/2000 12:00:00 AM,NatGas,$CDN/GJ,3.93,9/28/2018 10:37:40 AM
74542,9/1/2000 12:00:00 AM,NatGas,$CDN/GJ,4.66,9/28/2018 10:37:40 AM
74543,10/1/2000 12:00:00 AM,NatGas,$CDN/GJ,5.53,9/28/2018 10:37:40 AM
74544,11/1/2000 12:00:00 AM,NatGas,$CDN/GJ,5.79,9/28/2018 10:37:40 AM
74545,12/1/2000 12:00:00 AM,NatGas,$CDN/GJ,8.28,9/28/2018 10:37:40 AM
74546,1/1/2001 12:00:00 AM,NatGas,$CDN/GJ,11.21,9/28/2018 10:37:40 AM
74547,2/1/2001 12:00:00 AM,NatGas,$CDN/GJ,8.05,9/28/2018 10:37:40 AM
74548,3/1/2001 12:00:00 AM,NatGas,$CDN/GJ,6.48,9/28/2018 10:37:40 AM
74549,4/1/2001 12:00:00 AM,NatGas,$CDN/GJ,6.59,9/28/2018 10:37:40 AM
74550,5/1/2001 12:00:00 AM,NatGas,$CDN/GJ,5.74,9/28/2018 10:37:40 AM
74551,6/1/2001 12:00:00 AM,NatGas,$CDN/GJ,4.44,9/28/2018 10:37:40 AM
74552,7/1/2001 12:00:00 AM,NatGas,$CDN/GJ,3.75,9/28/2018 10:37:40 AM
74553,8/1/2001 12:00:00 AM,NatGas,$CDN/GJ,3.53,9/28/2018 10:37:40 AM
74554,9/1/2001 12:00:00 AM,NatGas,$CDN/GJ,2.76,9/28/2018 10:37:40 AM
74555,10/1/2001 12:00:00 AM,NatGas,$CDN/GJ,2.4,9/28/2018 10:37:40 AM
74556,11/1/2001 12:00:00 AM,NatGas,$CDN/GJ,3.33,9/28/2018 10:37:40 AM
74557,12/1/2001 12:00:00 AM,NatGas,$CDN/GJ,3.2,9/28/2018 10:37:40 AM
74558,1/1/2002 12:00:00 AM,NatGas,$CDN/GJ,3.17,9/28/2018 10:37:40 AM
74559,2/1/2002 12:00:00 AM,NatGas,$CDN/GJ,2.71,9/28/2018 10:37:40 AM
74560,3/1/2002 12:00:00 AM,NatGas,$CDN/GJ,3.23,9/28/2018 10:37:40 AM
74561,4/1/2002 12:00:00 AM,NatGas,$CDN/GJ,3.91,9/28/2018 10:37:40 AM
74562,5/1/2002 12:00:00 AM,NatGas,$CDN/GJ,3.91,9/28/2018 10:37:40 AM
74563,6/1/2002 12:00:00 AM,NatGas,$CDN/GJ,3.54,9/28/2018 10:37:40 AM
74564,7/1/2002 12:00:00 AM,NatGas,$CDN/GJ,3.17,9/28/2018 10:37:40 AM
74565,8/1/2002 12:00:00 AM,NatGas,$CDN/GJ,2.93,9/28/2018 10:37:40 AM
74566,9/1/2002 12:00:00 AM,NatGas,$CDN/GJ,3.51,9/28/2018 10:37:40 AM
74567,10/1/2002 12:00:00 AM,NatGas,$CDN/GJ,4.27,9/28/2018 10:37:40 AM
74568,11/1/2002 12:00:00 AM,NatGas,$CDN/GJ,4.85,9/28/2018 10:37:40 AM
74569,12/1/2002 12:00:00 AM,NatGas,$CDN/GJ,4.94,9/28/2018 10:37:40 AM
74570,1/1/2003 12:00:00 AM,NatGas,$CDN/GJ,5.88,9/28/2018 10:37:40 AM
74571,2/1/2003 12:00:00 AM,NatGas,$CDN/GJ,6.83,9/28/2018 10:37:40 AM
74572,3/1/2003 12:00:00 AM,NatGas,$CDN/GJ,8.94,9/28/2018 10:37:40 AM
74573,4/1/2003 12:00:00 AM,NatGas,$CDN/GJ,5.88,9/28/2018 10:37:40 AM
74574,5/1/2003 12:00:00 AM,NatGas,$CDN/GJ,5.73,9/28/2018 10:37:40 AM
74575,6/1/2003 12:00:00 AM,NatGas,$CDN/GJ,5.93,9/28/2018 10:37:40 AM
74576,7/1/2003 12:00:00 AM,NatGas,$CDN/GJ,5.58,9/28/2018 10:37:40 AM
74577,8/1/2003 12:00:00 AM,NatGas,$CDN/GJ,5.08,9/28/2018 10:37:40 AM
74578,9/1/2003 12:00:00 AM,NatGas,$CDN/GJ,5.19,9/28/2018 10:37:40 AM
74579,10/1/2003 12:00:00 AM,NatGas,$CDN/GJ,4.92,9/28/2018 10:37:40 AM
74580,11/1/2003 12:00:00 AM,NatGas,$CDN/GJ,4.6,9/28/2018 10:37:40 AM
74581,12/1/2003 12:00:00 AM,NatGas,$CDN/GJ,5.11,9/28/2018 10:37:40 AM
74582,1/1/2004 12:00:00 AM,NatGas,$CDN/GJ,6.1,9/28/2018 10:37:40 AM
74583,2/1/2004 12:00:00 AM,NatGas,$CDN/GJ,5.83,9/28/2018 10:37:40 AM
74584,3/1/2004 12:00:00 AM,NatGas,$CDN/GJ,5.49,9/28/2018 10:37:40 AM
74585,4/1/2004 12:00:00 AM,NatGas,$CDN/GJ,5.64,9/28/2018 10:37:40 AM
74586,5/1/2004 12:00:00 AM,NatGas,$CDN/GJ,6.28,9/28/2018 10:37:40 AM
74587,6/1/2004 12:00:00 AM,NatGas,$CDN/GJ,6.47,9/28/2018 10:37:40 AM
74588,7/1/2004 12:00:00 AM,NatGas,$CDN/GJ,6.17,9/28/2018 10:37:40 AM
74589,8/1/2004 12:00:00 AM,NatGas,$CDN/GJ,5.99,9/28/2018 10:37:40 AM
74590,9/1/2004 12:00:00 AM,NatGas,$CDN/GJ,5.21,9/28/2018 10:37:40 AM
74591,10/1/2004 12:00:00 AM,NatGas,$CDN/GJ,5.29,9/28/2018 10:37:40 AM
74592,11/1/2004 12:00:00 AM,NatGas,$CDN/GJ,6.58,9/28/2018 10:37:40 AM
74593,12/1/2004 12:00:00 AM,NatGas,$CDN/GJ,6.7,9/28/2018 10:37:40 AM
74594,1/1/2005 12:00:00 AM,NatGas,$CDN/GJ,6.02,9/28/2018 10:37:40 AM
74595,2/1/2005 12:00:00 AM,NatGas,$CDN/GJ,5.94,9/28/2018 10:37:40 AM
74596,3/1/2005 12:00:00 AM,NatGas,$CDN/GJ,6.3,9/28/2018 10:37:40 AM
74597,4/1/2005 12:00:00 AM,NatGas,$CDN/GJ,6.79,9/28/2018 10:37:40 AM
74598,5/1/2005 12:00:00 AM,NatGas,$CDN/GJ,6.51,9/28/2018 10:37:40 AM
74599,6/1/2005 12:00:00 AM,NatGas,$CDN/GJ,6.34,9/28/2018 10:37:40 AM
74600,7/1/2005 12:00:00 AM,NatGas,$CDN/GJ,6.87,9/28/2018 10:37:40 AM
74601,8/1/2005 12:00:00 AM,NatGas,$CDN/GJ,7.45,9/28/2018 10:37:40 AM
74602,9/1/2005 12:00:00 AM,NatGas,$CDN/GJ,9.46,9/28/2018 10:37:40 AM
74603,10/1/2005 12:00:00 AM,NatGas,$CDN/GJ,11.38,9/28/2018 10:37:40 AM
74604,11/1/2005 12:00:00 AM,NatGas,$CDN/GJ,10.81,9/28/2018 10:37:40 AM
74605,12/1/2005 12:00:00 AM,NatGas,$CDN/GJ,10.54,9/28/2018 10:37:40 AM
74606,1/1/2006 12:00:00 AM,NatGas,$CDN/GJ,9.52,9/28/2018 10:37:40 AM
74607,2/1/2006 12:00:00 AM,NatGas,$CDN/GJ,7.38,9/28/2018 10:37:40 AM
74608,3/1/2006 12:00:00 AM,NatGas,$CDN/GJ,6.47,9/28/2018 10:37:40 AM
74609,4/1/2006 12:00:00 AM,NatGas,$CDN/GJ,6.18,9/28/2018 10:37:40 AM
74610,5/1/2006 12:00:00 AM,NatGas,$CDN/GJ,5.71,9/28/2018 10:37:40 AM
74611,6/1/2006 12:00:00 AM,NatGas,$CDN/GJ,5.29,9/28/2018 10:37:40 AM
74612,7/1/2006 12:00:00 AM,NatGas,$CDN/GJ,5.22,9/28/2018 10:37:40 AM
74613,8/1/2006 12:00:00 AM,NatGas,$CDN/GJ,5.84,9/28/2018 10:37:40 AM
74614,9/1/2006 12:00:00 AM,NatGas,$CDN/GJ,5.12,9/28/2018 10:37:40 AM
74615,10/1/2006 12:00:00 AM,NatGas,$CDN/GJ,4.4,9/28/2018 10:37:40 AM
74616,11/1/2006 12:00:00 AM,NatGas,$CDN/GJ,6.51,9/28/2018 10:37:40 AM
74617,12/1/2006 12:00:00 AM,NatGas,$CDN/GJ,7.05,9/28/2018 10:37:40 AM
74618,1/1/2007 12:00:00 AM,NatGas,$CDN/GJ,6.27,9/28/2018 10:37:40 AM
74619,2/1/2007 12:00:00 AM,NatGas,$CDN/GJ,6.82,9/28/2018 10:37:40 AM
74620,3/1/2007 12:00:00 AM,NatGas,$CDN/GJ,6.92,9/28/2018 10:37:40 AM
74621,4/1/2007 12:00:00 AM,NatGas,$CDN/GJ,6.74,9/28/2018 10:37:40 AM
74622,5/1/2007 12:00:00 AM,NatGas,$CDN/GJ,6.61,9/28/2018 10:37:40 AM
74623,6/1/2007 12:00:00 AM,NatGas,$CDN/GJ,6.21,9/28/2018 10:37:40 AM
74624,7/1/2007 12:00:00 AM,NatGas,$CDN/GJ,5.43,9/28/2018 10:37:40 AM
74625,8/1/2007 12:00:00 AM,NatGas,$CDN/GJ,4.81,9/28/2018 10:37:40 AM
74626,9/1/2007 12:00:00 AM,NatGas,$CDN/GJ,4.42,9/28/2018 10:37:40 AM
74627,10/1/2007 12:00:00 AM,NatGas,$CDN/GJ,6.96,9/28/2018 10:37:40 AM
74628,11/1/2007 12:00:00 AM,NatGas,$CDN/GJ,5.54,9/28/2018 10:37:40 AM
74629,12/1/2007 12:00:00 AM,NatGas,$CDN/GJ,5.85,9/28/2018 10:37:40 AM
74630,1/1/2008 12:00:00 AM,NatGas,$CDN/GJ,6.19,9/28/2018 10:37:40 AM
74631,2/1/2008 12:00:00 AM,NatGas,$CDN/GJ,6.72,9/28/2018 10:37:40 AM
74632,3/1/2008 12:00:00 AM,NatGas,$CDN/GJ,7.52,9/28/2018 10:37:40 AM
74633,4/1/2008 12:00:00 AM,NatGas,$CDN/GJ,8.11,9/28/2018 10:37:40 AM
74634,5/1/2008 12:00:00 AM,NatGas,$CDN/GJ,8.92,9/28/2018 10:37:40 AM
74635,6/1/2008 12:00:00 AM,NatGas,$CDN/GJ,9.87,9/28/2018 10:37:40 AM
74636,7/1/2008 12:00:00 AM,NatGas,$CDN/GJ,9.84,9/28/2018 10:37:40 AM
74637,8/1/2008 12:00:00 AM,NatGas,$CDN/GJ,7.35,9/28/2018 10:37:40 AM
74638,9/1/2008 12:00:00 AM,NatGas,$CDN/GJ,6.28,9/28/2018 10:37:40 AM
74639,10/1/2008 12:00:00 AM,NatGas,$CDN/GJ,6.27,9/28/2018 10:37:40 AM
74640,11/1/2008 12:00:00 AM,NatGas,$CDN/GJ,6.25,9/28/2018 10:37:40 AM
74641,12/1/2008 12:00:00 AM,NatGas,$CDN/GJ,6.36,9/28/2018 10:37:40 AM
74642,1/1/2009 12:00:00 AM,NatGas,$CDN/GJ,5.77,9/28/2018 10:37:40 AM
74643,2/1/2009 12:00:00 AM,NatGas,$CDN/GJ,4.66,9/28/2018 10:37:40 AM
74644,3/1/2009 12:00:00 AM,NatGas,$CDN/GJ,4.01,9/28/2018 10:37:40 AM
74645,4/1/2009 12:00:00 AM,NatGas,$CDN/GJ,3.41,9/28/2018 10:37:40 AM
74646,5/1/2009 12:00:00 AM,NatGas,$CDN/GJ,3.13,9/28/2018 10:37:40 AM
74647,6/1/2009 12:00:00 AM,NatGas,$CDN/GJ,2.97,9/28/2018 10:37:40 AM
74648,7/1/2009 12:00:00 AM,NatGas,$CDN/GJ,2.94,9/28/2018 10:37:40 AM
74649,8/1/2009 12:00:00 AM,NatGas,$CDN/GJ,2.72,9/28/2018 10:37:40 AM
74650,9/1/2009 12:00:00 AM,NatGas,$CDN/GJ,2.48,9/28/2018 10:37:40 AM
74651,10/1/2009 12:00:00 AM,NatGas,$CDN/GJ,3.4,9/28/2018 10:37:40 AM
74652,11/1/2009 12:00:00 AM,NatGas,$CDN/GJ,3.77,9/28/2018 10:37:40 AM
