Date,WCS,WTI (US$/b),Mexican MAYA costs (US$/b),EXCH (CA:US),PADD2 utilization of refinery operational capacity,PADD3 utilization,US imports from Canada (thousands of b)
Oct-16,35.83,49.78,43.2,1.3251,90.4,86.1,99147
Nov-16,31.89,45.66,39.73,1.3434,92.7,91.1,105778
Dec-16,37.18,51.97,45.55,1.3339,93.1,94.3,105336
Jan-17,37.19,52.5,45.74,1.3183,93,87.8,109278
Feb-17,39.14,53.47,45.88,1.3109,90.6,85.7,95861
Mar-17,35.68,49.33,42.3,1.3387,92.5,89.4,111146
Apr-17,36.84,51.06,44.54,1.3437,95.1,93.3,100562
May-17,38.84,48.48,44.98,1.3606,95.3,97,111624
Jun-17,35.8,45.18,42.07,1.3295,97.7,95.8,98906
Jul-17,36.37,46.63,44.33,1.2690,96.2,96.7,101948
Aug-17,38.5,48.04,46.4,1.2608,99.1,89.6,108286
Sep-17,39.93,49.82,48.11,1.2279,92,78.1,101920
Oct-17,39.87,51.58,49.01,1.2607,84.7,90,104284
Nov-17,45.52,56.64,54.73,1.2773,92.9,92.9,100901
Dec-17,44.02,57.88,55.32,1.2769,95,95.4,113191
Jan-18,42.53,63.7,59.05,1.2429,91.4,91.7,117115
Feb-18,37.72,62.23,56.82,1.2588,89.1,87.5,100444
Mar-18,35.53,62.73,56.98,1.2933,90,92.4,109489
Apr-18,40.47,66.25,57.87,1.2732,94.6,92.8,111930
May-18,53.25,69.98,63.55,1.2866,98.5,93,119871
Jun-18,52.1,67.87,64.61,1.3125,97,97.2,119561
Jul-18,52.83,70.98,66.35,1.3133,94.9,94.9,110424
Aug-18,48.55,68.06,63.27,1.3042,97.5,97.5,110424
